prenda_id,L_a,a_a,b_a,L_b,a_b,b_b,nombre_a,de_misma
w_0015,65.30628081258794,1.3018764205407927,-3.924012184893256,64.9127416487381,1.272405131071392,-4.288605574108026,gris claro,0.4516887047520557
w_0016,17.137108685327266,3.6382930339922654,-4.468752359470757,20.07038103315462,3.7951188291088838,-4.559784483889406,negro,2.72715637337631
w_0017,28.272139008445517,2.7615113155924176,-4.94462893682828,28.759309624493337,2.7213061184937204,-4.665015829430603,gris oscuro,0.43699407252420785
w_0018,33.28823967889493,14.596400643416644,11.250279781171802,38.18914524794075,15.488779373550157,11.92941467132522,gris oscuro,2.9385167654546924
w_0019,46.227035416283634,2.742613702215858,6.237523516752621,34.43351891179625,3.8896836580007084,3.696837516716355,gris,7.003228927398252
w_0020,46.19342749240829,-0.015504275782427435,3.6439207988127067,51.23007989780774,0.19337393365560832,1.8507708512794798,gris,3.205021514875692
w_0021,40.656875389772416,5.170627761450861,-0.19579713577696517,41.14197574313089,5.120753503924841,-0.16255738524723398,gris oscuro,0.2588415115014779
w_0022,66.30389959662133,0.9998906629403422,-2.0601282511804095,66.07287474130747,1.1326050377141748,-0.6235016648465055,gris claro,1.9002963771912271
w_0023,58.5501843585104,0.7253930536396308,-4.383883435238127,58.66378544151866,0.8103872311354127,-4.14696644440454,gris,0.29789104845114
w_0024,60.973407932055636,1.4970993018553784,-7.620268832278506,61.34601659073853,1.5123403508005175,-7.576872782822197,gris,0.1624899153476755
w_0025,62.51005320855506,2.1187784616645122,-1.8075315688734401,63.010753149052874,2.121369903605918,-2.187749114168999,gris,0.5262855088414695
w_0026,28.1945386023947,11.166266225438246,1.0743668709520513,28.72544338524158,8.867299841097786,-0.9377044490086618,gris oscuro,2.980636834630857
w_0027,28.305588862246363,2.395341004265175,-9.324799201200937,27.55516656276337,2.229777708399449,-9.68853259807031,gris oscuro,0.6504156141835715
w_0028,29.031555986020525,3.568855624926766,-13.661240239267531,29.35331316992689,3.7883826747741423,-15.215166103148356,azul marino,1.1538185448723355
w_0029,9.237998569140647,2.8326458560857795,-4.076086518343417,9.744734633478911,2.9108066840908324,-4.225664810065758,negro,0.5278638091234533
w_0030,64.85834398817848,1.6346460897330088,-0.5455906703858707,65.66092957899501,1.4777180982212226,-1.4037339688481303,gris,1.2323492911822898
w_0031,37.508387287258344,-4.015890839812457,-8.859742576166639,35.24106468592558,-4.276500842657531,-8.089418410662967,gris oscuro,1.4839835171384081
w_0032,55.368078582411485,21.14350177359503,1.6465964378349045,57.81993870211223,21.409935281464563,3.6179666161227786,rosa,2.0225224944775104
w_0033,62.43295425235927,0.19014945613750417,-8.719278868318591,63.830860437611385,0.36717132544049375,-6.888242677530292,gris,1.7344846487757095
w_0034,44.16342090457131,53.77373884910338,35.420113801540296,44.000306073518416,52.93432067461228,36.04446712461996,rojo,0.6933299421296147
w_0035,67.35232561304686,0.34808094884273244,-5.287711912013031,67.3651524798234,0.37976389355489587,-4.943142533118883,gris claro,0.3657986398905032
w_0036,60.14759277734798,6.07860881115121,4.692165024253162,64.81948457292792,5.370651790593336,-0.3002357600330636,gris,7.690173441643611
w_0037,66.58539720363208,1.4152263226931165,-3.8386361634329416,65.96968767176624,1.3320051593357947,-3.5066097067696056,gris claro,0.4585795373958214
w_0038,20.592819367781043,1.7690535424399274,-3.7035042670599956,23.317343027898104,1.500527596587186,-3.9424966460483937,negro,2.250068506859714
w_0039,65.2150766010013,1.387487055991651,-7.184879857220958,64.83337497205854,1.4305892777261242,-7.185181160093414,gris claro,0.16512708119760236
w_0040,64.89729670140709,1.4702754990628255,-4.659202774680169,61.883277136760654,1.1227249073094134,-7.277386195423739,gris,3.1745458983861865
w_0041,18.928033217853425,2.3549668608466776,-4.440515266820054,17.935986035904214,2.288623796641064,-4.155710709934706,negro,0.9102746748937224
w_0042,26.270950991739358,5.100346644675037,-10.210021791197924,26.969520456779193,5.126333140496024,-10.073831489084597,gris oscuro,0.4941185316910721
w_0043,68.31384836214535,1.5245311795937064,2.4769741773885086,65.29109493051034,1.4630273232621895,4.656309694695851,gris claro,2.9851785892561136
w_0044,51.43258500276954,43.924604986994524,59.925351331297634,51.03890277984334,44.07833511699494,59.262596864127,naranja,0.5156627393612746
w_0045,17.55053555196328,2.1081812940312235,-4.182849563938153,18.198007411595743,2.184048574894944,-4.634004884552807,negro,0.777466922312057
w_0046,40.15674994778802,2.669489603066955,4.817388988320622,39.485497838745054,2.7058698093629228,4.729883683966063,gris oscuro,0.37272142072100356
w_0047,51.67925906122792,11.08451289358606,17.982123735739997,52.32718024789879,10.786324493833042,15.945155902947906,marrón,1.7357199874613374
w_0048,19.27091979660001,3.1512700953676482,-6.10367670722762,19.20589549415814,3.1635021230235876,-6.094647239431637,negro,0.058795798440573914
w_0049,23.1466534133774,1.58937584879722,-1.980490318783424,22.45673795864621,1.4974894551747429,-1.4539746750098614,negro,0.8537688856686432
w_0050,13.489594995681472,2.1451007455223223,-4.45125035124997,16.02381953845883,2.1040239262976903,-1.773574360530894,negro,3.976924330067329
w_0051,52.589052066779416,6.551279826980382,-0.40812606487068726,52.38722621546484,6.616113762351413,-0.5103841257800725,gris,0.16616046555549113
w_0052,26.08224961992512,1.6840861080531366,-1.627071529164068,27.276432016249508,1.7127339486867117,-1.8168616867064207,gris oscuro,0.8529933249871253
w_0053,57.610510336039944,1.0457297199909525,-9.6588409432737,57.45092821589415,0.9863999172978463,-9.452927433350927,gris,0.19690996085672052
w_0054,58.62655527195309,0.7879631598509074,-5.501944269071003,67.2492440101281,1.4222871120670482,-1.8577894136465622,gris,5.53371670806386
w_0055,67.67699057276565,1.883107034540167,1.7593019717770397,66.58561821630434,1.763807901015679,1.3614790929591263,gris claro,0.687980009372421
w_0056,42.08635884948371,2.102864905193557,-20.355312591407632,47.38784833267869,1.3396144105228343,-19.28704542115794,vaquero,2.8473803809548768
w_0057,67.78650366017378,1.7841821403682723,1.6173581232731584,67.2986233682527,1.8248497425616061,1.9408958449166678,gris claro,0.46868014768616234
w_0058,31.613129369296473,4.921880915513375,3.619884865392025,31.2903558223807,4.928842638912749,3.534883829881812,gris oscuro,0.22717159875073606
w_0059,67.36554725932838,2.1129185654769063,-7.320039810965842,67.0744146135048,2.0375610992466324,-8.022832936958675,gris claro,0.71757260460094
w_0060,59.61780264294474,1.5415585240565977,-2.841892440602932,59.13731625092639,1.5650142077190636,-3.739394833998633,gris,1.110619294060919
w_0061,62.891166748274024,3.199083727020735,4.628961237397917,64.08005904597287,2.8029718291790524,3.5004038666858803,gris,1.398685008637934
w_0062,44.74263738785808,4.589594025824873,10.937511390109547,44.71024031108611,5.010299892974718,12.691219169668248,gris oscuro,1.4494712143897688
w_0063,46.13935589063306,4.481285942671184,1.6439275405332592,34.01317775086435,5.552242835188194,6.801320521258724,gris,8.573854014771776
w_0064,56.18025299702676,4.14873468803017,8.7357869495433,56.01938549492172,3.998544522245278,8.709628534852873,gris,0.24174958308234798
w_0065,59.86346503398998,0.0272384712671163,-12.919984418002143,59.470399196634176,-0.0025877048010941512,-12.884810644966135,vaquero,0.17071663646215465
w_0066,28.271062125942922,1.2705546680279898,0.8254296250630052,31.987278386063334,1.0937095803738037,1.5961334546211314,gris oscuro,2.643937984710098
w_0067,26.722018180325847,1.205308626301449,-1.7928536178058119,28.646880889655282,1.317167787774876,-2.271427513866011,gris oscuro,1.4429106505231064
w_0068,66.38052963602533,1.0920946765205641,-2.3275649606506374,65.85763197404287,1.1758461783815766,-2.4709811137944993,gris claro,0.2950808718582672
w_0069,42.35575691317327,1.7285563062072544,-22.159780804150696,42.49254400777236,1.5695798205734923,-21.70175870153985,vaquero,0.3039774039096988
w_0070,30.03358043388875,5.841144387362531,-25.336638482814966,30.254480005538372,5.79038180797069,-25.410183018260433,azul marino,0.15418325118870024
w_0071,58.39462014696107,0.2644938106416719,-6.101445347553527,58.32458379716037,0.2507420337110156,-6.561234562760402,gris,0.46248721225082834
w_0072,66.12384813316936,2.1169674505121887,-1.3522249718903248,66.0891519579682,2.0887554771113748,-2.26986528797796,gris claro,1.189319043521307
w_0073,54.30829374616091,2.306329653278779,6.899747356177963,54.61967915308923,2.1864198869850826,6.735526365209354,gris,0.24863111654960598
w_0074,69.53444364239418,2.5714351554259185,-11.478336757031917,69.04882671280687,2.357028123172469,-10.475801548385457,gris claro,0.8182028551208721
w_0075,22.074239058488647,1.7452304794836875,-1.189903580081946,28.96355763509347,1.6679163942396562,-5.073089423571586,negro,7.349515684127676
w_0076,31.960399399212847,21.223722063961095,0.23701606602252043,36.74135284972232,23.595784535452626,-0.7549920180213481,burdeos,3.2876535993874016
w_0077,45.05955116379331,-0.2935528485871647,-11.381262005204194,44.28603970825446,-0.22624827973383432,-10.770893134840852,vaquero,0.6147106512440722
w_0078,22.01607737692634,2.8551549874373148,-4.125281655286459,20.43943446113225,2.6499949778788063,-3.6880395799098333,negro,1.3195936890957107
w_0079,41.08523503670741,13.163067108218188,-50.14411542015499,39.51098816699868,13.203175958971025,-49.01078632842153,azul,0.9343962658396242
w_0080,22.518433277433072,18.44304864423384,1.9282477730857381,21.860700580035516,18.14406018992794,1.664715077368487,burdeos,0.581439794525427
w_0081,18.657900112807745,3.536466501806844,-5.0987751444420075,17.274769225111378,3.2073942578965524,-3.5850537465029895,negro,2.0385328648161662
w_0082,69.08407411034062,3.5675456801493897,-15.195173323939422,69.03623598283737,3.5460756355761625,-14.80250257924761,vaquero,0.2776944389184699
w_0083,47.62347127645429,2.634664970040436,5.183236475496186,46.78990503863686,2.5987818278889243,4.719476283928388,gris,0.65509668528182
w_0084,19.46036024337533,2.8049313568510295,-4.2211304800765115,19.495335692840168,2.8102260638552234,-4.205212789267067,negro,0.03586701348406822
w_0085,30.423984319676276,5.115282049925543,-19.830817601120156,21.834681904000444,4.408601878033253,-16.02684272757487,azul marino,5.786210426385474
w_0086,16.243474348374438,1.369792404967054,-2.1659505535131665,15.932722478752844,1.265232716099663,-2.0705176669175853,negro,0.3494527804299506
w_0087,23.951504350528605,2.317735598458772,-4.3529546955104825,23.94178223345179,2.3326315540024343,-4.3917194774206205,negro,0.04520631490486857
w_0088,30.023359958341366,1.3595512722319798,-4.119098225270711,30.063197199464298,1.4079323859277546,-4.113089575837623,gris oscuro,0.06913664922111964
w_0089,45.448185142610534,6.104031681117574,13.703206992981404,44.633014177329024,5.986774555616504,13.512903409514301,marrón,0.42600727972427704
w_0090,39.88496913980454,57.08536401595821,30.190674733869933,40.99007345373962,56.62852425256245,31.207050790865516,rojo,0.9178366574358888
w_0091,41.12410507659382,60.00026508376576,35.37585535361443,41.21140364417569,60.18023392144517,35.57178208526377,rojo,0.10884746998456059
w_0092,48.33180578650554,5.278602548213688,-1.192282622531223,43.38676981056451,4.739296410401187,0.2333788257566419,gris,2.9422811007309293
w_0093,20.004056386327797,5.9435956363654485,-10.670579136812373,18.58429034149615,6.302526846962473,-8.275572243325163,negro,2.6512236896248145
w_0094,59.31334637199199,5.992943066838769,12.628042623377508,61.27093007477647,5.833153282245569,11.34254960929441,gris,1.3909387257072456
w_0095,65.88697652414749,2.4042978436725075,1.4903689050031772,65.79043288139023,2.427447034755934,2.1720054765520374,gris claro,0.89010899630552
w_0096,62.54880200806535,0.01811823059730927,-2.8933483807167057,51.27599359758709,-0.01944830815562777,-10.099837478638184,gris,9.97169787898268
w_0097,17.72854518451602,1.659886921076943,-0.4022725820385638,17.65702062009153,1.675625109573099,-0.37445110982708446,negro,0.07799280444271778
w_0098,49.99814277554388,0.9432802794869438,-0.46440718341793924,72.99031902565748,1.2968638728137645,0.39139869793891185,gris,10.646007689237328
w_0099,43.98274313917921,1.6779477342738474,-4.281544352194377,44.40062024259055,1.743174296686711,-4.3694100291839035,gris oscuro,0.23912690776005066
w_0100,30.14217692373522,0.16967463921592685,-4.937703973126092,30.240822472600776,0.16351671330722553,-5.06207754188473,gris oscuro,0.1469157340899392
w_0101,63.97568460036908,3.4025210419784693,5.164388233281913,60.19022348106562,3.5576514823648138,6.652572359133159,gris,2.3093164831312505
w_0102,26.8799444208349,15.739744114517608,-3.4840464068760792,26.77260398808899,15.857043204736291,-3.343985954061297,gris oscuro,0.17440592000771823
w_0103,29.96382455086448,2.306518062525209,-3.8616742306442156,29.343247756642125,2.267449791368621,-3.791704658507754,gris oscuro,0.3963159790775623
w_0104,59.38872505414252,1.5821784982316158,-12.597922188354836,66.27027075409683,1.735042275499476,-14.706717340855368,vaquero,3.303911829142921
w_0105,27.910779113767855,6.338750283295709,-21.860161195658392,27.821347163556222,6.313456168158166,-21.793644632739905,azul marino,0.071197013101847
w_0106,66.78325990128455,1.7862277434514748,-12.29003156901113,65.02626452711863,2.8059399344287956,-7.069512528256895,vaquero,4.720308794832074
w_0107,25.30698289939644,2.6559156303323315,-7.024418695030513,24.507054251315353,2.5986268699398494,-7.058743727378297,gris oscuro,0.5653936953972576
w_0108,48.85239741694693,1.3797788753100115,-6.101535329826133,49.208802548304504,1.4958723927355866,-6.095149009741894,gris,0.23171560009449674
w_0109,57.89431142449122,1.3143721284942094,-1.9304515237929578,57.817467911123984,1.2107952680155094,-2.3860319374149657,gris,0.6113334361109201
w_0110,19.177467665773676,1.541110330405304,-3.1973847909378486,19.201904344369044,1.5599678777846309,-3.149202284928881,negro,0.06794626546980838
w_0111,35.20279797434829,4.436024685256361,-19.896207409349035,35.31478264538704,4.491194163863772,-20.03214328686805,azul marino,0.11036875916444915
w_0112,28.83123519472439,1.4539171405826499,-4.155524650260913,28.63356808316855,1.4143810276945887,-4.2093308733054835,gris oscuro,0.15178943499460276
w_0113,59.09169691642301,2.579783614558843,-12.499398123627868,59.97339612200035,2.5660644679302433,-12.596576608147348,vaquero,0.38077041608677953
w_0114,58.83307820887371,2.6817469174603725,3.13934346984212,53.52911449796822,2.9426349173656363,4.471851246056593,gris,2.7652866025858938
w_0115,21.752725596770013,1.7368121190731571,-4.517622589098266,21.88670071904778,1.7518797730760793,-4.439524446181124,negro,0.13884504428536673
w_0116,18.587171683865854,5.555750233413021,-10.836729624040617,21.229759823208852,6.030893241927026,-11.950734981780522,negro,2.484293632402597
w_0117,26.398675671888586,2.207669916733412,-5.124611924307191,26.508917800919104,2.157769504712643,-5.1098111165873945,gris oscuro,0.09827020280244446
